Loss : tensor(0.4433, grad_fn=<AddBackward0>)
Loss : tensor(0.4876, grad_fn=<AddBackward0>)
Loss : tensor(0.3982, grad_fn=<AddBackward0>)
Loss : tensor(0.5030, grad_fn=<AddBackward0>)
Loss : tensor(0.4338, grad_fn=<AddBackward0>)
Loss : tensor(0.4144, grad_fn=<AddBackward0>)
Loss : tensor(0.6091, grad_fn=<AddBackward0>)
Loss : tensor(0.4171, grad_fn=<AddBackward0>)
Loss : tensor(0.4141, grad_fn=<AddBackward0>)
Loss : tensor(0.5368, grad_fn=<AddBackward0>)
Loss : tensor(0.5766, grad_fn=<AddBackward0>)
Loss : tensor(0.4261, grad_fn=<AddBackward0>)
Loss : tensor(0.5259, grad_fn=<AddBackward0>)
Loss : tensor(0.3609, grad_fn=<AddBackward0>)
Loss : tensor(0.4243, grad_fn=<AddBackward0>)
Loss : tensor(0.5464, grad_fn=<AddBackward0>)
Loss : tensor(0.5764, grad_fn=<AddBackward0>)
Loss : tensor(0.6114, grad_fn=<AddBackward0>)
Loss : tensor(0.4688, grad_fn=<AddBackward0>)
Loss : tensor(0.4998, grad_fn=<AddBackward0>)
Loss : tensor(0.4516, grad_fn=<AddBackward0>)
Loss : tensor(0.4671, grad_fn=<AddBackward0>)
Loss : tensor(0.4050, grad_fn=<AddBackward0>)
Loss : tensor(0.4606, grad_fn=<AddBackward0>)
Loss : tensor(0.4633, grad_fn=<AddBackward0>)
Loss : tensor(0.6397, grad_fn=<AddBackward0>)
Loss : tensor(0.4448, grad_fn=<AddBackward0>)
Loss : tensor(0.6739, grad_fn=<AddBackward0>)
Loss : tensor(0.4453, grad_fn=<AddBackward0>)
Loss : tensor(0.3910, grad_fn=<AddBackward0>)
Loss : tensor(0.4189, grad_fn=<AddBackward0>)
Loss : tensor(0.4813, grad_fn=<AddBackward0>)
Loss : tensor(0.4526, grad_fn=<AddBackward0>)
Loss : tensor(0.6008, grad_fn=<AddBackward0>)
Loss : tensor(0.4432, grad_fn=<AddBackward0>)
Loss : tensor(0.4280, grad_fn=<AddBackward0>)
Loss : tensor(0.4632, grad_fn=<AddBackward0>)
Loss : tensor(0.4833, grad_fn=<AddBackward0>)
Loss : tensor(0.4260, grad_fn=<AddBackward0>)
Loss : tensor(0.5280, grad_fn=<AddBackward0>)
Loss : tensor(0.4395, grad_fn=<AddBackward0>)
Loss : tensor(0.5048, grad_fn=<AddBackward0>)
Loss : tensor(0.4237, grad_fn=<AddBackward0>)
Loss : tensor(0.4004, grad_fn=<AddBackward0>)
Loss : tensor(0.4042, grad_fn=<AddBackward0>)
Loss : tensor(0.5105, grad_fn=<AddBackward0>)
Loss : tensor(0.5126, grad_fn=<AddBackward0>)
Loss : tensor(0.3927, grad_fn=<AddBackward0>)
Loss : tensor(0.4402, grad_fn=<AddBackward0>)
Loss : tensor(0.4769, grad_fn=<AddBackward0>)
Loss : tensor(0.4035, grad_fn=<AddBackward0>)
Loss : tensor(0.4621, grad_fn=<AddBackward0>)
Loss : tensor(0.2951, grad_fn=<AddBackward0>)
Loss : tensor(0.4028, grad_fn=<AddBackward0>)
Loss : tensor(0.4819, grad_fn=<AddBackward0>)
Loss : tensor(0.4459, grad_fn=<AddBackward0>)
Loss : tensor(0.4226, grad_fn=<AddBackward0>)
Loss : tensor(0.4896, grad_fn=<AddBackward0>)
